readName,AGG,CGG,totalLength
m54006_190802_093121/5046584/ccs/296_357,1,19,61
m54006_190802_093121/5177470/ccs/295_356,1,19,61
m54006_190802_093121/7340662/ccs/295_356,1,19,61
m54006_190802_093121/8520120/ccs/295_356,1,19,61
m54006_190802_093121/9896408/ccs/295_356,1,19,61
m54006_190802_093121/10486658/ccs/295_356,1,19,61
m54006_190802_093121/13697320/ccs/295_356,1,19,61
m54006_190802_093121/17498985/ccs/295_356,1,19,61
m54006_190802_093121/59114107/ccs/295_356,1,19,61
m54006_190802_093121/61210871/ccs/296_357,1,19,61
m54006_190802_093121/62455936/ccs/296_357,1,19,61
m54006_190802_093121/63242830/ccs/295_356,1,19,61
m54006_190802_093121/67240437/ccs/295_356,1,19,61
m54006_190802_093121/68551163/ccs/296_357,1,19,61
m54006_190802_093121/35718014/ccs/295_356,1,19,61
m54006_190802_093121/38142536/ccs/295_356,1,19,61
m54006_190802_093121/19595496/ccs/295_356,1,19,61
m54006_190802_093121/4260296/ccs/294_355,1,19,61
m54006_190802_093121/7734052/ccs/294_355,1,19,61
m54006_190802_093121/9372242/ccs/295_356,1,19,61
m54006_190802_093121/16843189/ccs/295_356,1,19,61
m54006_190802_093121/17629557/ccs/295_356,1,19,61
m54006_190802_093121/57082592/ccs/295_356,1,19,61
m54006_190802_093121/62915092/ccs/294_355,1,19,61
m54006_190802_093121/64028786/ccs/295_356,1,19,61
m54006_190802_093121/70517004/ccs/295_356,1,19,61
m54006_190802_093121/71369661/ccs/295_356,1,19,61
m54006_190802_093121/72745576/ccs/297_358,1,19,61
m54006_190802_093121/73793708/ccs/295_356,1,19,61
m54006_190802_093121/44237350/ccs/295_356,1,19,61
m54006_190802_093121/46072376/ccs/295_356,1,19,61
m54006_190802_093121/54461126/ccs/295_356,1,19,61
m54006_190802_093121/19399103/ccs/295_356,1,19,61
m54006_190802_093121/23134381/ccs/295_356,1,19,61
m54006_190802_093121/23462455/ccs/295_356,1,19,61
m54006_190802_093121/26214557/ccs/295_356,1,19,61
m54006_190802_093121/26214605/ccs/295_356,1,19,61
m54006_190802_093121/26607966/ccs/295_356,1,19,61
m54006_190802_093121/27460087/ccs/295_356,1,19,61
m54006_190802_093121/27722380/ccs/295_356,1,19,61
m54006_190802_093121/35848668/ccs/297_359,1,19,62
m54006_190802_093121/13434960/ccs/296_358,1,19,62
m54006_190802_093121/66257661/ccs/295_357,1,19,62
m54006_190802_093121/8126760/ccs/296_360,1,20,64
m54006_190802_093121/4784401/ccs/295_359,1,20,64
m54006_190802_093121/42795344/ccs/295_359,1,20,64
m54006_190802_093121/57606670/ccs/295_359,1,20,64
m54006_190802_093121/65536574/ccs/295_359,1,20,64
m54006_190802_093121/74711370/ccs/296_360,1,20,64
m54006_190802_093121/40108165/ccs/295_361,1,20,66
